Unnamed: 0,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Number of Google Reviews,Normalized Rating,Normalized Fee,Normalized Time,Normalized Reviews,Weekend Availability Score,Significance Score,Type Score,Airport Score,Ranking Score
49,Eastern,West Bengal,Kolkata,Science City Kolkata,Science,1997,3.0,4.4,60,Yes,,Educational,Yes,0.88,All,88000.0,0.8800000000000001,0.992,0.5714285714285714,0.11891891891891893,1.0,0.1,0.1,0.05,0.6646204633204633
143,Central,Madhya Pradesh,Kanha,Kanha National Park,Wildlife Sanctuary,1955,3.0,4.5,100,No,,Wildlife,Yes,0.1,Morning,10000.0,0.9,0.9866666666666667,0.5714285714285714,0.013513513513513514,1.0,0.25,0.1,0.0,0.6632799227799226
40,Southern,Telangana,Hyderabad,Nehru Zoological Park,Zoo,1963,3.0,4.2,50,Yes,,Wildlife,Yes,0.86,Morning,86000.0,0.8400000000000001,0.9933333333333333,0.5714285714285714,0.11621621621621622,1.0,0.25,0.1,0.05,0.662050193050193
82,Northern,Rajasthan,Sawai Madhopur,Ranthambore National Park,Wildlife Sanctuary,1980,3.0,4.6,500,No,,Wildlife,Yes,0.09,All,9000.0,0.9199999999999999,0.9333333333333333,0.5714285714285714,0.012162162162162163,1.0,0.25,0.1,0.0,0.6601447876447876
12,Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,1954,3.0,4.5,20,Yes,Monday,Artistic,Yes,0.08,All,8000.0,0.9,0.9973333333333333,0.5714285714285714,0.010810810810810811,1.0,0.1,0.1,0.05,0.6596096525096524
216,Eastern,West Bengal,Siliguri,Jaldapara National Park,Wildlife Sanctuary,1941,3.0,4.4,250,Yes,,Wildlife,Yes,0.035,All,3500.0000000000005,0.8800000000000001,0.9666666666666667,0.5714285714285714,0.00472972972972973,1.0,0.25,0.1,0.05,0.6569015444015444
13,Northern,Delhi,Delhi,National Zoological Park ,Zoo,1959,3.0,4.1,80,Yes,Friday,Environmental,Yes,0.41,All,41000.0,0.82,0.9893333333333333,0.5714285714285714,0.05540540540540541,1.0,0.1,0.1,0.05,0.6428691119691119
302,Northern,Haryana,Gurugram,Kingdom of Dreams,Entertainment,2010,3.0,4.4,1100,Yes,Monday,Entertainment,Yes,0.3,Afternoon,30000.0,0.8800000000000001,0.8533333333333333,0.5714285714285714,0.04054054054054054,1.0,0.15,0.1,0.05,0.6384826254826254
206,Northern,Ladakh,Hemis,Hemis National Park,National Park,1981,4.0,4.4,20,No,,Wildlife,Yes,0.02,All,2000.0,0.8800000000000001,0.9973333333333333,0.4285714285714286,0.002702702702702703,1.0,0.25,0.4,0.0,0.6309416988416988
217,Eastern,West Bengal,Sundarbans,Sundarbans National Park,National Park,1984,4.0,4.4,60,No,,Wildlife,Yes,0.065,All,6500.0,0.8800000000000001,0.992,0.4285714285714286,0.008783783783783784,1.0,0.25,0.4,0.0,0.630749806949807
